Bib Number,Place Gender,Place Age‑Graded,Gun Time,5K,5Ks,10K,10Ks,15K,15Ks,20K,20Ks,HALF,HALFs,25K,25Ks,30K,30Ks,35K,35Ks,40K,40Ks,Official Time,Official Time (Seconds)
1,4,4,2:08:12,0:16:02,962,0:31:28,1888,0:46:56,2816,1:02:20,3740,1:05:34,3934,1:17:48,4668,1:31:57,5517,1:46:25,6385,2:01:24,7284,2:08:12,7692
2,3,3,2:08:00,0:16:00,960,0:31:28,1888,0:46:54,2814,1:02:20,3740,1:05:34,3934,1:17:48,4668,1:31:57,5517,1:46:28,6388,2:01:26,7286,2:08:00,7680
3,2,2,2:07:45,0:16:00,960,0:31:29,1889,0:46:56,2816,1:02:20,3740,1:05:34,3934,1:17:48,4668,1:31:57,5517,1:46:20,6380,2:01:10,7270,2:07:45,7665
4,9,10,2:10:39,0:16:03,963,0:31:31,1891,0:46:55,2815,1:02:22,3742,1:05:34,3934,1:17:49,4669,1:32:44,5564,1:48:12,6492,2:03:56,7436,2:10:39,7839
6,5,6,2:08:50,0:16:01,961,0:31:29,1889,0:46:55,2815,1:02:20,3740,1:05:34,3934,1:17:48,4668,1:31:57,5517,1:46:21,6381,2:01:35,7295,2:08:50,7730
7,1,1,2:07:39,0:16:02,962,0:31:28,1888,0:46:55,2815,1:02:21,3741,1:05:35,3935,1:17:48,4668,1:31:58,5518,1:46:20,6380,2:01:10,7270,2:07:39,7659
8,22,26,2:14:49,0:16:01,961,0:31:28,1888,0:46:54,2814,1:02:20,3740,1:05:33,3933,1:17:48,4668,1:32:29,5549,1:48:48,6528,2:06:54,7614,2:14:49,8089
9,8,11,2:10:39,0:15:59,959,0:31:28,1888,0:46:55,2815,1:02:19,3739,1:05:35,3935,1:17:49,4669,1:32:15,5535,1:47:34,6454,2:03:28,7408,2:10:39,7839
10,6,7,2:09:00,0:15:59,959,0:31:30,1890,0:46:54,2814,1:02:24,3744,1:05:35,3935,1:17:48,4668,1:32:14,5534,1:47:24,6444,2:02:38,7358,2:09:00,7740
11,7,8,2:09:21,0:16:01,961,0:31:30,1890,0:46:58,2818,1:02:23,3743,1:05:36,3936,1:17:49,4669,1:32:31,5551,1:47:35,6455,2:02:41,7361,2:09:21,7761
12,15,19,2:11:45,0:16:00,960,0:31:31,1891,0:46:58,2818,1:02:22,3742,1:05:40,3940,1:17:56,4676,1:32:51,5571,1:48:31,6511,2:04:40,7480,2:11:45,7905
14,23,27,2:15:12,0:16:04,964,0:31:33,1893,0:47:19,2839,1:03:00,3780,1:06:30,3990,1:19:23,4763,1:35:17,5717,1:51:24,6684,2:07:58,7678,2:15:12,8112
15,19,5,2:13:27,0:16:01,961,0:31:27,1887,0:46:55,2815,1:02:22,3742,1:05:39,3939,1:17:56,4676,1:33:40,5620,1:49:53,6593,2:06:18,7578,2:13:27,8007
16,14,9,2:11:22,0:16:01,961,0:31:30,1890,0:46:58,2818,1:02:22,3742,1:05:35,3935,1:17:50,4670,1:32:52,5572,1:48:27,6507,2:04:21,7461,2:11:22,7882
17,17,21,2:12:32,0:16:05,965,0:31:29,1889,0:46:58,2818,1:02:22,3742,1:05:44,3944,1:17:56,4676,1:33:14,5594,1:48:59,6539,2:05:24,7524,2:12:32,7952
18,49,80,2:24:13,0:16:03,963,0:31:32,1892,0:46:59,2819,1:02:46,3766,1:06:25,3985,1:20:06,4806,1:38:16,5896,1:57:12,7032,2:15:59,8159,2:24:13,8653
19,71,140,2:27:28,0:16:01,961,0:31:30,1890,0:46:58,2818,1:02:47,3767,1:06:26,3986,1:20:05,4805,1:38:07,5887,1:57:59,7079,2:18:27,8307,2:27:28,8848
20,10,13,2:10:57,0:16:02,962,0:31:30,1890,0:46:58,2818,1:02:17,3737,1:05:39,3939,1:17:55,4675,1:32:51,5571,1:48:27,6507,2:04:13,7453,2:10:57,7857
21,12,16,2:11:16,0:16:04,964,0:31:34,1894,0:47:01,2821,1:02:25,3745,1:05:48,3948,1:18:03,4683,1:33:22,5602,1:48:49,6529,2:04:21,7461,2:11:16,7876
22,21,24,2:14:12,0:16:03,963,0:31:30,1890,0:46:56,2816,1:02:21,3741,1:05:35,3935,1:17:49,4669,1:32:31,5551,1:47:51,6471,2:05:30,7530,2:14:12,8052
23,16,20,2:11:58,0:16:00,960,0:31:29,1889,0:46:54,2814,1:02:20,3740,1:05:35,3935,1:17:48,4668,1:31:59,5519,1:47:09,6429,2:03:49,7429,2:11:58,7918
24,18,22,2:12:52,0:16:05,965,0:31:33,1893,0:47:00,2820,1:02:24,3744,1:05:49,3949,1:18:06,4686,1:33:34,5614,1:49:46,6586,2:06:02,7562,2:12:52,7972
26,24,29,2:16:58,0:16:02,962,0:31:28,1888,0:46:57,2817,1:02:24,3744,1:05:45,3945,1:18:36,4716,1:34:44,5684,1:52:29,6749,2:09:27,7767,2:16:58,8218
27,13,17,2:11:21,0:16:03,963,0:31:30,1890,0:46:58,2818,1:02:23,3743,1:05:40,3940,1:17:48,4668,1:32:52,5572,1:48:27,6507,2:04:20,7460,2:11:21,7881
29,32,35,2:19:36,0:16:04,964,0:32:02,1922,0:48:14,2894,1:04:25,3865,1:08:06,4086,1:21:29,4889,1:38:01,5881,1:54:53,6893,2:12:05,7925,2:19:36,8376
30,20,15,2:13:36,0:16:03,963,0:31:32,1892,0:47:00,2820,1:02:24,3744,1:05:48,3948,1:18:12,4692,1:33:41,5621,1:49:56,6596,2:06:18,7578,2:13:36,8016
31,30,18,2:19:08,0:16:03,963,0:31:30,1890,0:47:11,2831,1:03:23,3803,1:07:01,4021,1:20:18,4818,1:36:59,5819,1:54:07,6847,2:11:26,7886,2:19:08,8348
987,821,"1,341",3:21:22,0:22:39,1359,0:45:23,2723,1:08:45,4125,1:32:14,5534,1:37:36,5856,1:56:56,7016,2:20:40,8440,2:45:23,9923,3:10:19,11419,3:20:53,12053
1110,"2,607",101,3:42:50,0:23:58,1438,0:48:22,2902,1:13:27,4407,1:38:40,5920,1:44:28,6268,2:05:47,7547,2:32:37,9157,3:00:16,10816,3:29:23,12563,3:42:32,13352
1378,306,585,2:39:24,0:18:54,1134,0:37:37,2257,0:56:11,3371,1:15:08,4508,1:19:17,4757,1:34:05,5645,1:52:19,6739,2:11:02,7862,2:29:47,8987,2:38:22,9502
1487,434,972,2:42:26,0:18:25,1105,0:36:45,2205,0:55:19,3319,1:13:50,4430,1:17:57,4677,1:32:42,5562,1:51:18,6678,2:10:51,7851,2:32:11,9131,2:41:47,9707
1495,479,"1,051",2:43:37,0:19:17,1157,0:38:09,2289,0:57:07,3427,1:16:08,4568,1:20:18,4818,1:35:27,5727,1:54:25,6865,2:13:59,8039,2:33:52,9232,2:42:36,9756
1501,248,162,2:37:07,0:17:56,1076,0:35:36,2136,0:53:24,3204,1:11:28,4288,1:15:35,4535,1:30:20,5420,1:48:28,6508,2:07:50,7670,2:27:42,8862,2:36:09,9369
1567,"2,211","3,627",3:03:21,0:21:15,1275,0:42:18,2538,1:03:35,3815,1:24:54,5094,1:29:37,5377,1:46:46,6406,2:07:42,7662,2:28:48,8928,2:51:09,10269,3:02:32,10952
1590,520,803,2:44:27,0:19:49,1189,0:39:09,2349,0:58:36,3516,1:17:54,4674,1:22:12,4932,1:37:26,5846,1:56:43,7003,2:16:01,8161,2:35:17,9317,2:43:25,9805
1599,374,841,2:40:51,0:18:25,1105,0:36:59,2219,0:55:35,3335,1:14:03,4443,1:18:11,4691,1:32:59,5579,1:51:23,6683,2:10:31,7831,2:31:03,9063,2:40:01,9601
